id_trab,tipo,01/01,02/01,03/01,04/01,05/01,06/01,07/01,08/01,09/01,10/01,11/01,12/01,13/01,14/01,15/01,16/01,17/01,18/01,19/01,20/01,21/01,22/01,23/01,24/01,25/01,26/01,27/01,28/01,29/01,30/01,31/01
PAT030,patron,VADN030,LIBRE,VADN152,VADN029,VADN028,VADN032,VADN029,VADN030,LIBRE,LIBRE,LIBRE,VADN032,VADN030,VADN052,LIBRE,LIBRE,LIBRE,VADN029,LIBRE,VADN028,VADN031,VADN051,LIBRE,LIBRE,VADN028,LIBRE,VADN003,VADN022,LIBRE,VADN002,VADN152
PAT031,patron,VADN001,LIBRE,VADN005,LIBRE,VADN002,VADN027,VADN030,VADN032,VADN030,LIBRE,LIBRE,VADN004,VADN028,VADN029,VADN028,LIBRE,LIBRE,VADN028,LIBRE,VADN004,VADN034,LIBRE,LIBRE,VADN005,VADN025,VADN052,VADN051,VADN051,LIBRE,LIBRE,LIBRE
PAT032,patron,LIBRE,VADN005,VADN029,VADN028,LIBRE,VADN005,VADN032,VADN040,LIBRE,LIBRE,VADN040,VADN030,VADN034,VADN028,VADN030,LIBRE,LIBRE,VADN025,VADN051,LIBRE,VADN051,LIBRE,VADN051,LIBRE,LIBRE,VADN051,LIBRE,VADN052,VADN051,LIBRE,VADN034
PAT033,patron,VADN032,VADN029,VADN028,LIBRE,LIBRE,VADN022,VADN022,LIBRE,LIBRE,VADN005,VADN051,VADN052,VADN051,LIBRE,LIBRE,VADN022,VADN005,LIBRE,VADN003,VADN005,VADN005,VADN028,VADN030,LIBRE,LIBRE,VADN002,VADN001,LIBRE,VADN001,LIBRE,VADN022
PAT034,patron,VADN152,VADN001,LIBRE,LIBRE,VADN025,VADN051,LIBRE,VADN052,VADN051,LIBRE,LIBRE,VADN051,LIBRE,VADN032,VADN029,LIBRE,LIBRE,VADN051,LIBRE,VADN029,LIBRE,LIBRE,VADN022,VADN152,VADN005,VADN005,VADN032,LIBRE,VADN032,LIBRE,VADN006
PAT035,patron,LIBRE,LIBRE,LIBRE,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,LIBRE,LIBRE,LIBRE,LIBRE,VADN177,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE
PAT036,patron,VADN177,LIBRE,LIBRE,LIBRE,LIBRE,VADN177,LIBRE,LIBRE,LIBRE,LIBRE,VADN177,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADN177,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC
PAT037,patron,LIBRE,LIBRE,VADN177,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADN177,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADN177
PAT038,patron,LIBRE,LIBRE,LIBRE,VADN177,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,VADN177,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE
PAT039,patron,LIBRE,VADU47127,LIBRE,LIBRE,LIBRE,LIBRE,VADU47127,LIBRE,LIBRE,VADU47127,LIBRE,LIBRE,VADU47127,LIBRE,VADU47127,LIBRE,LIBRE,VADU47127,LIBRE,LIBRE,VADP003,LIBRE,LIBRE,VADU47127,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE,LIBRE
