id_trab,id_turno,lv,sab,dom,fest,v
PAT033,VADN027,0,1,0,1,0
PAT033,VADN038,0,1,0,1,0
PAT033,VADN026,0,1,0,1,0
PAT033,VADN152,1,1,0,1,0
PAT034,VADN001,1,1,0,1,0
PAT034,VADN002,1,1,0,1,0
PAT034,VADN003,1,1,0,1,0
PAT034,VADN004,1,0,0,1,0
PAT034,VADN005,1,1,1,1,0
PAT034,VADN006,1,1,0,1,0
PAT034,VADN022,1,1,1,1,0
PAT034,VADN025,1,1,1,1,0
PAT034,VADN028,1,1,1,1,0
PAT034,VADN029,1,1,1,1,0
PAT034,VADN030,1,1,0,1,0
PAT034,VADN031,1,1,0,1,0
PAT034,VADN032,1,0,0,1,0
PAT034,VADN034,1,1,0,1,0
PAT034,VADN040,1,0,1,0,0
PAT034,VADN051,1,1,1,1,0
PAT034,VADN052,1,1,1,1,0
PAT034,VADN027,0,1,0,1,0
PAT034,VADN038,0,1,0,1,0
PAT034,VADN026,0,1,0,1,0
PAT034,VADN152,1,1,0,1,0
PAT035,VADN177,0,1,1,1,0
PAT036,VADN177,0,1,1,1,0
PAT037,VADN177,0,1,1,1,0
PAT038,VADN177,0,1,1,1,0
PAT039,VADP003,1,1,1,1,0
PAT039,VADU47127,1,1,1,1,0
PAT040,VADP003,1,1,1,1,0
PAT040,VADU47127,1,1,1,1,0
PAT041,VADP003,1,1,1,1,0
PAT041,VADU47127,1,1,1,1,0
PAT042,VADP003,1,1,1,1,0
PAT042,VADU47127,1,1,1,1,0
PAT043,VADP003,1,1,1,1,0
PAT043,VADU47127,1,1,1,1,0
PAT044,VADP003,1,1,1,1,0
PAT044,VADU47127,1,1,1,1,0
PAT045,VADP003,1,1,1,1,0
PAT045,VADU47127,1,1,1,1,0
PAT046,VADP003,1,1,1,1,0
PAT046,VADU47127,1,1,1,1,0
COR001,VADN012,0,0,0,0,1
COR002,VADN013,0,0,0,0,1
COR003,VADN014,0,0,0,0,1
COR004,VADN015,0,0,0,0,1
COR005,VADN016,0,0,0,0,1
COR006,VADN017,0,0,0,0,1
COR001,VADN018,0,0,0,0,1
COR002,VADN019,0,0,0,0,1
COR003,VADN020,0,0,0,0,1
COR004,VADN021,0,0,0,0,1
COR005,VADN023,0,0,0,0,1
COR006,VADN024,0,0,0,0,1
COR001,VADN033,0,0,0,0,1
COR002,VADN035,0,0,0,0,1
COR003,VADN036,0,0,0,0,1
COR004,VADN037,0,0,0,0,1
COR005,VADN039,0,0,0,0,1
COR006,VADP001,0,0,0,0,1
COR001,VADP002,0,0,0,0,1
COR002,H,0,0,0,0,1
COR003,REF CAL M,0,0,0,0,1
COR004,REF CAL T,0,0,0,0,1
COR005,VADN151,0,0,0,0,1
COR006,VADN153,0,0,0,0,1
COR001,VADN161,0,0,0,0,1
COR002,VADN164,0,0,0,0,1
COR003,VADN171,0,0,0,0,1
COR004,VADN172,0,0,0,0,1
COR005,VADN174,0,0,0,0,1
COR006,VADN175,0,0,0,0,1
COR001,VADN176,0,0,0,0,1
COR002,VADN178,0,0,0,0,1
COR003,VADN179,0,0,0,0,1
COR004,VADN182,0,0,0,0,1
COR005,VADN183,0,0,0,0,1
COR006,VADN191,0,0,0,0,1
COR001,VADN192,0,0,0,0,1
COR002,VADN193,0,0,0,0,1
COR003,VADN195,0,0,0,0,1
COR004,VADN007,0,0,0,0,1
COR005,VADN008,0,0,0,0,1
COR006,VADN009,0,0,0,0,1
COR001,VADN010,0,0,0,0,1
COR002,VADN011,0,0,0,0,1
COR001,VADN001,0,0,0,0,1
COR002,VADN002,0,0,0,0,1
COR003,VADN003,0,0,0,0,1
COR004,VADN004,0,0,0,0,1
